page,clicks,impressions,days_with_data,first_date,last_date,best_impression_position,avg_impression_position
https://elviajedelabotella.com/nuevo-mexico/resort-de-snowboard-de-esqui-10/,3,11,2,2026-03-27,2026-04-10,1,1.5
https://elviajedelabotella.com/california/dispensarios-de-marihuana-2/,3,7,2,2026-03-20,2026-04-10,4,4.0
https://elviajedelabotella.com/nueva-york/camping-27/,3,7,3,2026-03-27,2026-04-10,1,3.0
https://elviajedelabotella.com/nueva-jersey/tiendas-de-segunda-mano-31/,2,17,3,2026-03-20,2026-04-10,2,3.67
https://elviajedelabotella.com/nueva-york/tiendas-de-bicicletas-34/,2,11,3,2026-03-20,2026-04-10,4,5.33
https://elviajedelabotella.com/california/librerias-5/,2,1,1,2026-03-20,2026-03-20,3,3.0
https://elviajedelabotella.com/california/tiendas-de-muebles-2/,2,1,1,2026-03-20,2026-03-20,2,2.0
https://elviajedelabotella.com/nueva-york/tiendas-de-zapatos-22/,1,20,4,2026-03-20,2026-04-10,2,3.25
https://elviajedelabotella.com/nueva-york/restaurantes-en-manhattan/,1,19,4,2026-03-20,2026-04-10,6,6.5
https://elviajedelabotella.com/nueva-york/tiendas-de-mascotas-32/,1,15,2,2026-03-27,2026-04-03,3,4.5
https://elviajedelabotella.com/nueva-york/tiendas-de-segunda-mano-34/,1,13,3,2026-03-20,2026-04-03,7,7.67
https://elviajedelabotella.com/hawai/actividades-educativas-para-ninos-10/,1,11,3,2026-03-20,2026-04-03,6,6.67
https://elviajedelabotella.com/california/panaderias-5/,1,7,2,2026-03-20,2026-04-10,4,6.0
https://elviajedelabotella.com/nevada/tiendas-de-segunda-mano-33/,1,6,1,2026-04-03,2026-04-03,7,7.0
https://elviajedelabotella.com/utah/pastelerias-42/,1,6,2,2026-03-20,2026-04-03,1,1.5
https://elviajedelabotella.com/florida/pistas-de-patinaje-sobre-hielo-7/,1,5,2,2026-03-20,2026-03-27,4,5.5
https://elviajedelabotella.com/nueva-york/buffets-24/,1,5,1,2026-04-10,2026-04-10,5,5.0
https://elviajedelabotella.com/nueva-york/delis-34/,1,5,2,2026-03-20,2026-04-10,6,7.0
https://elviajedelabotella.com/nueva-york/pastelerias-32/,1,5,2,2026-03-27,2026-04-10,8,8.0
https://elviajedelabotella.com/ohio/hechos-graciosos-29/,1,5,2,2026-03-20,2026-04-03,2,4.0
https://elviajedelabotella.com/texas/barbacoa-43/,1,5,2,2026-03-20,2026-03-27,2,4.0
https://elviajedelabotella.com/texas/tiendas-de-mascotas-41/,1,5,1,2026-04-10,2026-04-10,2,2.0
https://elviajedelabotella.com/ohio/mitos-leyendas-urbanas-16/,1,4,2,2026-03-27,2026-04-03,1,1.0
https://elviajedelabotella.com/florida/tiendas-de-skate-7/,1,3,2,2026-03-20,2026-04-03,2,4.5
https://elviajedelabotella.com/kansas/lugares-historicos-11/,1,3,1,2026-04-03,2026-04-03,4,4.0
https://elviajedelabotella.com/massachusetts/parques-infantiles-5/,1,3,2,2026-03-20,2026-04-03,4,4.0
https://elviajedelabotella.com/minnesota/restaurantes-en-minneapolis/,1,3,1,2026-04-10,2026-04-10,5,5.0
https://elviajedelabotella.com/texas/ferreterias-49/,1,3,1,2026-04-10,2026-04-10,2,2.0
https://elviajedelabotella.com/arizona/casinos/,1,2,1,2026-04-03,2026-04-03,4,4.0
https://elviajedelabotella.com/colorado/mercados-de-agricultores-5/,1,2,1,2026-03-27,2026-03-27,2,2.0
https://elviajedelabotella.com/colorado/tiendas-de-zapatos-5/,1,2,2,2026-03-20,2026-04-10,1,3.0
https://elviajedelabotella.com/connecticut/librerias-7/,1,2,1,2026-04-03,2026-04-03,2,2.0
https://elviajedelabotella.com/florida/restaurantes-mexicanos-9/,1,2,1,2026-03-27,2026-03-27,1,1.0
https://elviajedelabotella.com/iowa/festivales-6/,1,2,1,2026-03-27,2026-03-27,5,5.0
https://elviajedelabotella.com/massachusetts/lugares-de-fiesta-de-cumpleanos-para-ninos-19/,1,2,1,2026-03-20,2026-03-20,3,3.0
https://elviajedelabotella.com/nueva-jersey/asadores-31/,1,2,1,2026-03-27,2026-03-27,1,1.0
https://elviajedelabotella.com/nueva-jersey/tiendas-de-articulos-deportivos-31/,1,2,1,2026-04-03,2026-04-03,3,3.0
https://elviajedelabotella.com/oregon/restaurantes-mexicanos-36/,1,2,1,2026-04-10,2026-04-10,8,8.0
https://elviajedelabotella.com/rhode-island/peliculas-filmadas-aqui-11/,1,2,2,2026-03-20,2026-04-03,2,4.0
https://elviajedelabotella.com/texas/alitas-43/,1,2,1,2026-04-10,2026-04-10,2,2.0
