page,clicks,impressions,ctr,position
https://elviajedelabotella.com/ohio/mitos-leyendas-urbanas-16/,12,185,0.0649,10.49
https://elviajedelabotella.com/maine/mitos-leyendas-urbanas-8/,9,64,0.1406,11.42
https://elviajedelabotella.com/wisconsin/recogiendo-manzanas-38/,8,237,0.0338,27.53
https://elviajedelabotella.com/virginia/recogiendo-manzanas-35/,7,605,0.0116,36.14
https://elviajedelabotella.com/delaware/tiendas-de-segunda-mano-8/,7,243,0.0288,9.17
https://elviajedelabotella.com/arkansas/mitos-leyendas-urbanas/,6,95,0.0632,14.92
https://elviajedelabotella.com/iowa/tiendas-de-segunda-mano-12/,5,282,0.0177,10.9
https://elviajedelabotella.com/nueva-york/pintura-y-vino-32/,5,138,0.0362,38.87
https://elviajedelabotella.com/carolina-del-sur/peliculas-filmadas-aqui-12/,4,188,0.0213,12.38
https://elviajedelabotella.com/carolina-del-sur/tiendas-de-segunda-mano-40/,4,176,0.0227,45.22
https://elviajedelabotella.com/kentucky/recogiendo-manzanas-12/,4,128,0.0312,10.76
https://elviajedelabotella.com/colorado/tiendas-de-mascotas-6/,4,89,0.0449,14.74
https://elviajedelabotella.com/nueva-jersey/ferreterias-31/,4,60,0.0667,15.82
https://elviajedelabotella.com/ohio/lugares-de-fiesta-de-cumpleanos-para-ninos-35/,4,60,0.0667,29.6
https://elviajedelabotella.com/georgia/lugares-de-fiesta-de-cumpleanos-para-ninos-10/,4,34,0.1176,31.32
https://elviajedelabotella.com/colorado/lugares-de-fiesta-de-cumpleanos-para-ninos-6/,3,425,0.0071,48.49
https://elviajedelabotella.com/kansas/tiendas-de-segunda-mano-16/,3,159,0.0189,14.2
https://elviajedelabotella.com/maryland/peliculas-filmadas-aqui-6/,3,110,0.0273,10.48
https://elviajedelabotella.com/luisiana/centros-de-jardin-16/,3,96,0.0312,48.2
https://elviajedelabotella.com/idaho/lugar-de-boda-11/,3,47,0.0638,24.72
https://elviajedelabotella.com/nuevo-mexico/hamburguesas-29/,3,24,0.125,10.79
https://elviajedelabotella.com/virginia/lugar-de-boda-36/,3,23,0.1304,37.17
https://elviajedelabotella.com/vermont/celebraciones-de-primera-noche-de-ano-nuevo-33/,3,17,0.1765,9.65
https://elviajedelabotella.com/nueva-york/tiendas-de-mascotas-32/,2,836,0.0024,70.36
https://elviajedelabotella.com/utah/centros-de-juego-para-ninos-18/,2,626,0.0032,34.92
https://elviajedelabotella.com/colorado/camping-5/,2,254,0.0079,63.16
https://elviajedelabotella.com/rhode-island/centros-de-juego-para-ninos-15/,2,168,0.0119,14.12
https://elviajedelabotella.com/utah/lugares-de-fiesta-de-cumpleanos-para-ninos-44/,2,110,0.0182,64.36
https://elviajedelabotella.com/connecticut/pistas-de-patinaje-sobre-hielo-5/,2,107,0.0187,10.93
https://elviajedelabotella.com/indiana/recoleccion-de-calabaza-13/,2,105,0.019,16.62
https://elviajedelabotella.com/maryland/lugares-de-fiesta-de-cumpleanos-para-ninos-20/,2,85,0.0235,27.6
https://elviajedelabotella.com/oregon/tiendas-de-segunda-mano-37/,2,78,0.0256,10.29
https://elviajedelabotella.com/nueva-york/pollo-frito-32/,2,71,0.0282,55.99
https://elviajedelabotella.com/connecticut/tiendas-de-suministros-de-belleza-3/,2,68,0.0294,18.5
https://elviajedelabotella.com/utah/tiendas-de-alimentos-saludables-holisticos-17/,2,58,0.0345,10.66
https://elviajedelabotella.com/arizona/tiendas-de-alimentos-saludables-holisticos/,2,49,0.0408,19.67
https://elviajedelabotella.com/michigan/ferreterias-22/,2,49,0.0408,11.84
https://elviajedelabotella.com/carolina-del-norte/hamburguesas-24/,2,42,0.0476,12.24
https://elviajedelabotella.com/delaware/ferreterias-8/,2,41,0.0488,8.68
https://elviajedelabotella.com/carolina-del-sur/tiendas-de-consignacion-19/,2,40,0.05,14.97
https://elviajedelabotella.com/carolina-del-sur/centros-de-jardin-38/,2,39,0.0513,19.03
