query,page,clicks,impressions,ctr,position
lugares para acampar en colorado,https://elviajedelabotella.com/colorado/camping-5/,1,121,0.0083,55.46
centro de juegos para niños cerca de mi,https://elviajedelabotella.com/utah/centros-de-juego-para-ninos-18/,1,21,0.0476,10.81
lugares para pintar y tomar vino,https://elviajedelabotella.com/nueva-york/pintura-y-vino-32/,1,16,0.0625,49.44
lugar para cortar manzanas cerca de mi,https://elviajedelabotella.com/virginia/recogiendo-manzanas-35/,1,8,0.125,47.62
lugar de brincolines para niños,https://elviajedelabotella.com/utah/centros-de-juego-para-ninos-18/,1,3,0.3333,10
ferias artesanales cerca de mi,https://elviajedelabotella.com/michigan/ferias-de-artesania/,1,2,0.5,4
lugares para festejar cumpleaños de niños,https://elviajedelabotella.com/nevada/lugares-de-fiesta-de-cumpleanos-para-ninos-33/,1,2,0.5,8.5
pollo frito nueva york,https://elviajedelabotella.com/nueva-york/pollo-frito-32/,1,2,0.5,33.5
donde celebrar cumpleaños de niños,https://elviajedelabotella.com/utah/lugares-de-fiesta-de-cumpleanos-para-ninos-44/,1,1,1,20
lugar para patinar sobre hielo,https://elviajedelabotella.com/missouri/pistas-de-patinaje-sobre-hielo-16/,1,1,1,3
lugares para jugar con niños,https://elviajedelabotella.com/new-hampshire/centros-de-juego-para-ninos-10/,1,1,1,6
lugares para noche de bodas,https://elviajedelabotella.com/virginia/lugar-de-boda-36/,1,1,1,12
parques para celebrar cumpleaños de niños,https://elviajedelabotella.com/colorado/lugares-de-fiesta-de-cumpleanos-para-ninos-6/,1,1,1,10
pista de patinaje sobre hielo,https://elviajedelabotella.com/florida/pistas-de-patinaje-sobre-hielo-7/,1,1,1,18
dentista para niños,https://elviajedelabotella.com/oregon/dentistas-amigables-para-ninos-37/,0,1436,0,84.05
estaciones de esqui new hampshire,https://elviajedelabotella.com/new-hampshire/resort-de-snowboard-de-esqui-9/,0,576,0,61.04
centro de esquí en new hampshire,https://elviajedelabotella.com/new-hampshire/resort-de-snowboard-de-esqui-9/,0,481,0,66.32
lugares para acampar en illinois,https://elviajedelabotella.com/illinois/camping-10/,0,296,0,66.09
tienda de mascotas en queens ny,https://elviajedelabotella.com/nueva-york/tiendas-de-mascotas-32/,0,251,0,84.59
zumba greenwood village,https://elviajedelabotella.com/colorado/zumba-5/,0,223,0,83.99
panaderías premiadas en california,https://elviajedelabotella.com/california/panaderias-5/,0,221,0,66.68
que hacer en detroit en invierno,https://elviajedelabotella.com/michigan/actividades-de-invierno-21/,0,210,0,49.27
que hacer en michigan en invierno,https://elviajedelabotella.com/michigan/actividades-de-invierno-21/,0,209,0,32.87
que hacer en arizona con niños,https://elviajedelabotella.com/arizona/actividades-de-atracciones-familiares/,0,202,0,43.65
restaurantes en virginia occidental,https://elviajedelabotella.com/west-virginia/restaurantes-46/,0,191,0,20.66
celebra cumpleaños infantil,https://elviajedelabotella.com/california/lugares-de-fiesta-de-cumpleanos-para-ninos-5/,0,190,0,78.1
restaurantes en dakota del norte,https://elviajedelabotella.com/dakota-del-norte/restaurantes-mexicanos-28/,0,189,0,38.46
dentistas para ninos,https://elviajedelabotella.com/texas/dentistas-amigables-para-ninos-43/,0,183,0,87.51
tiendas de segunda mano en los angeles,https://elviajedelabotella.com/california/tiendas-de-segunda-mano-5/,0,183,0,45.86
lugares para visitar en utah para niños,https://elviajedelabotella.com/utah/centros-de-juego-para-ninos-18/,0,172,0,42.9
campos de minigolf,https://elviajedelabotella.com/maryland/mini-golf-16/,0,157,0,64.82
manzanas en carolina del norte,https://elviajedelabotella.com/carolina-del-norte/recogiendo-manzanas-20/,0,152,0,40.51
restaurantes en nueva jersey,https://elviajedelabotella.com/nueva-jersey/restaurantes-30/,0,148,0,21.2
que hacer en utah en verano,https://elviajedelabotella.com/utah/actividades-de-verano-29/,0,132,0,43.93
centros comerciales en wisconsin,https://elviajedelabotella.com/wisconsin/salidas-de-compras-25/,0,123,0,16.87
que hacer en utah con niños,https://elviajedelabotella.com/utah/centros-de-juego-para-ninos-18/,0,114,0,76.12
venta de cachorros en houston tx,https://elviajedelabotella.com/texas/tiendas-de-mascotas-41/,0,114,0,75.2
lugares para visitar en utah en verano,https://elviajedelabotella.com/utah/actividades-de-verano-29/,0,113,0,77.15
best buffet in massachusetts,https://elviajedelabotella.com/massachusetts/buffets-13/,0,109,0,90.01
lugares para acampar en utah,https://elviajedelabotella.com/utah/camping-34/,0,106,0,71.51
lugares para visitar en virginia gratis,https://elviajedelabotella.com/virginia/free-thingstodo-20/,0,105,0,37.43
verano en utah,https://elviajedelabotella.com/utah/actividades-de-verano-29/,0,102,0,66.32
site:elviajedelabotella.com,https://elviajedelabotella.com/,0,93,0,1
site:elviajedelabotella.com,https://elviajedelabotella.com/category/luisiana/,0,93,0,4.97
site:elviajedelabotella.com,https://elviajedelabotella.com/category/minnesota/,0,93,0,6.97
site:elviajedelabotella.com,https://elviajedelabotella.com/category/oregon/,0,93,0,5.97
site:elviajedelabotella.com,https://elviajedelabotella.com/alabama/picnic/,0,92,0,4
site:elviajedelabotella.com,https://elviajedelabotella.com/alabama/postres/,0,92,0,3
site:elviajedelabotella.com,https://elviajedelabotella.com/alaska/desayuno/,0,92,0,9
site:elviajedelabotella.com,https://elviajedelabotella.com/category/michigan/,0,92,0,10
site:elviajedelabotella.com,https://elviajedelabotella.com/category/mississippi/,0,92,0,8
site:elviajedelabotella.com,https://elviajedelabotella.com/category/missouri/,0,92,0,2
visitas guiadas utah,https://elviajedelabotella.com/utah/visitas-guiadas-43/,0,91,0,66.46
bares clandestinos nueva york,https://elviajedelabotella.com/nueva-york/bares-de-bar-clandestino-26/,0,88,0,75.42
restaurantes en manhattan,https://elviajedelabotella.com/nueva-york/restaurantes-en-manhattan/,0,87,0,85.13
qué hacer en omaha,https://elviajedelabotella.com/nebraska/cosas-para-hacer-en-en-omaha/,0,86,0,43.53
tanning salon flowood,https://elviajedelabotella.com/mississippi/salones-de-bronceado-19/,0,74,0,67.07
